"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify a section can be updated","755","Verify a section can be updated","Surefire suite","2026-07-18","passed","2026-07-18","Sections functionality tests","Sections functionality tests","tests.api.SectionAPITest","updateSection"
"Verify a test case attachment can be retrieved","936","Verify a test case attachment can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","Attachments functionality tests","Attachments functionality tests","tests.api.AttachmentAPITest","retrieveAttachmentFromTestCase"
"Verify a result can be added to a test run","822","Verify a result can be added to a test run","Surefire suite","2026-07-18","passed","2026-07-18","Test runs API functionality tests","Test runs API functionality tests","tests.api.TestRunAPITest","addResultForCase"
"Verify the created section with the test case can be deleted","871","Verify the created section with the test case can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","Test cases API functionality tests","Test cases API functionality tests","tests.api.TestCaseAPITest","deleteTestCaseSection"
"Verify project test cases can be retrieved","853","Verify project test cases can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","Test cases API functionality tests","Test cases API functionality tests","tests.api.TestCaseAPITest","getTestCases"
"Verify a test case title can be updated","924","Verify a test case title can be updated","Surefire suite","2026-07-18","passed","2026-07-18","Test cases API functionality tests","Test cases API functionality tests","tests.api.TestCaseAPITest","updateTestCase"
"Verify API authentication fails with invalid credentials","739","Verify API authentication fails with invalid credentials","Surefire suite","2026-07-18","passed","2026-07-18","API authentication functionality tests","API authentication functionality tests","tests.api.AuthAPITest","checkInvalidCredentialsAuthentication"
"Verify selection can be created","1404","Verify selection can be created","Surefire suite","2026-07-18","passed","2026-07-18","Sections functionality tests","Sections functionality tests","tests.api.SectionAPITest","checkCreateSection"
"Verify created sections can be deleted","2396","Verify created sections can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","Sections functionality tests","Sections functionality tests","tests.api.SectionAPITest","deleteSections"
"Verify test run results can be retrieved","857","Verify test run results can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","Test runs API functionality tests","Test runs API functionality tests","tests.api.TestRunAPITest","getResultsForRun"
"Verify a test case attachment can be deleted","2489","Verify a test case attachment can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","Attachments functionality tests","Attachments functionality tests","tests.api.AttachmentAPITest","deleteAttachmentFromTestCase"
"Verify a test case can be created","1510","Verify a test case can be created","Surefire suite","2026-07-18","passed","2026-07-18","Test cases API functionality tests","Test cases API functionality tests","tests.api.TestCaseAPITest","createTestCase"
"Verify a section can be moved into another section","2343","Verify a section can be moved into another section","Surefire suite","2026-07-18","passed","2026-07-18","Sections functionality tests","Sections functionality tests","tests.api.SectionAPITest","moveSection"
"Verify an attachment can be added to a test case","3103","Verify an attachment can be added to a test case","Surefire suite","2026-07-18","passed","2026-07-18","Attachments functionality tests","Attachments functionality tests","tests.api.AttachmentAPITest","addAttachmentToTestCase"
"Verify an attachment can be added to a test run","2283","Verify an attachment can be added to a test run","Surefire suite","2026-07-18","passed","2026-07-18","Attachments functionality tests","Attachments functionality tests","tests.api.AttachmentAPITest","addAttachmentToTestRun"
"Verify created test data can be deleted","1510","Verify created test data can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","Test runs API functionality tests","Test runs API functionality tests","tests.api.TestRunAPITest","deleteTestRunData"
"Verify a test run attachment can be deleted","2380","Verify a test run attachment can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","Attachments functionality tests","Attachments functionality tests","tests.api.AttachmentAPITest","deleteAttachmentFromTestRun"
"Verify a test run attachment can be retrieved","849","Verify a test run attachment can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","Attachments functionality tests","Attachments functionality tests","tests.api.AttachmentAPITest","retrieveAttachmentFromTestRun"
"Verify the created project can be deleted","840","Verify the created project can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","Projects API functionality tests","Projects API functionality tests","tests.api.ProjectAPITest","deleteProject"
"Verify a project can be created","729","Verify a project can be created","Surefire suite","2026-07-18","passed","2026-07-18","Projects API functionality tests","Projects API functionality tests","tests.api.ProjectAPITest","createProject"
"Verify project test runs can be retrieved","3352","Verify project test runs can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","Test runs API functionality tests","Test runs API functionality tests","tests.api.TestRunAPITest","getTestRuns"
"Verify the projects list can be retrieved","888","Verify the projects list can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","Projects API functionality tests","Projects API functionality tests","tests.api.ProjectAPITest","getProjects"
"Verify API authentication succeeds with valid credentials","3463","Verify API authentication succeeds with valid credentials","Surefire suite","2026-07-18","passed","2026-07-18","API authentication functionality tests","API authentication functionality tests","tests.api.AuthAPITest","checkValidCredentialsAuthentication"
